name,slug,sport,level,state,city,venue,address,start_date,end_date,referee_pay,referee_contact,source_url,source_domain,summary,status,confidence,run_id,updated_at
"Events from June 14, 2023 – January 12, 2024",events-from-june-14-2023-january-12-2024,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
"Events from June 14, 2023 – January 12, 2024",events-from-june-14-2023-january-12-2024-2,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/list/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Events for December 2025,events-for-december-2025,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/month/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
"Events for December 17, 2025",events-for-december-17-2025,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/today/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
"Past Events from January 12, 2024 – June 14, 2023",past-events-from-january-12-2024-june-14-2023,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/list/?eventDisplay=past,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
2026 US Youth Soccer Workshop,2026-us-youth-soccer-workshop,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/2026-us-youth-soccer-workshop/,www.usyouthsoccer.org,"Information about the 2026 US Youth Soccer Workshop at the United Soccer Coaches Convention in Philadelphia, PA.",unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
ODP Interregionals (Boys),odp-interregionals-boys,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/odp-interregionals-boys/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
ODP Interregionals (Girls),odp-interregionals-girls,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/odp-interregionals-girls/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
National League Winter Event,national-league-winter-event,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/national-league-winter-event/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
NL Cup (Southeast Playoffs),nl-cup-southeast-playoffs,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/nl-cup-southeast-playoffs/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
NL Cup (Southwest Playoffs),nl-cup-southwest-playoffs,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/nl-cup-southwest-playoffs/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
NL Cup (Northeast Playoffs),nl-cup-northeast-playoffs,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/nl-cup-northeast-playoffs/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
NL Cup (Northwest Playoffs),nl-cup-northwest-playoffs,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/nl-cup-northwest-playoffs/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
NL Cup (Finals),nl-cup-finals,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/event/nl-cup-finals/,www.usyouthsoccer.org,US Youth Soccer,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Sign in,sign-in,soccer,national,,,,,,,,,https://www.google.com/calendar/render?cid=webcal%3A%2F%2Fwww.usyouthsoccer.org%2F%3Fpost_type%3Dtribe_events%26ical%3D1%26eventDisplay%3Dlist,www.google.com,Access Google Calendar with a Google account (for personal use) or Google Workspace account (for business use).,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Outlook,outlook,soccer,national,,,,,,,,,https://outlook.office.com/owa?path=/calendar/action/compose&rru=addsubscription&url=webcal%3A%2F%2Fwww.usyouthsoccer.org%2F%3Fpost_type%3Dtribe_events%26ical%3D1%26eventDisplay%3Dlist&name=US+Youth+Soccer+Events+Archive+-+US+Youth+Soccer,outlook.office.com,,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Outlook,outlook-2,soccer,national,,,,,,,,,https://outlook.live.com/owa?path=/calendar/action/compose&rru=addsubscription&url=webcal%3A%2F%2Fwww.usyouthsoccer.org%2F%3Fpost_type%3Dtribe_events%26ical%3D1%26eventDisplay%3Dlist&name=US+Youth+Soccer+Events+Archive+-+US+Youth+Soccer,outlook.live.com,,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Untitled Tournament,untitled-tournament,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/list/?ical=1,www.usyouthsoccer.org,,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST
Untitled Tournament,untitled-tournament-2,soccer,national,,,,,,,,,https://www.usyouthsoccer.org/events/list/?outlook-ical=1,www.usyouthsoccer.org,,unconfirmed,,20251217_143250_PST,2025-12-17 14:32:50 PST